time,humidity,pressure,temperature (humidity),temperature (pressure),orientation radians pitch,orientation radians yaw,orientation radians roll,orientation degrees pitch,orientation degrees yaw,orientation degrees roll,compass raw x,compass raw y,compass raw z,gyroscope raw x,gyroscope raw y,gyroscope raw z,accelerometer raw x,accelerometer raw y,accelerometer raw z
2015-05-19 16:44:58.630373,33.222206115722656,1000.4619140625,33.24799346923828,31.90625,0.02068410813808441,-2.4336235523223877,0.015061312355101109,1.180775462790007,220.5345312620497,0.8623724275298168,-23.407665252685547,19.540393829345703,36.82313919067383,-26.546531677246094,22.315914154052734,41.750511169433594,-0.020495999604463577,0.01512799970805645,1.0043039321899414
2015-05-19 16:44:59.634714,32.60233688354492,1000.466064453125,33.302223205566406,31.912500381469727,0.019504619762301445,-2.4479522705078125,0.015148647129535675,1.1167306999335016,219.73429263851267,0.8661553384737989,-40.05067443847656,33.01129150390625,63.40970230102539,-39.98973846435547,32.32543182373047,63.61056137084961,-0.02000799961388111,0.01512799970805645,1.0013760328292847
2015-05-19 16:45:00.637868,33.87942123413086,1000.470947265625,33.41069412231445,31.927082061767578,0.019647495821118355,-2.4548556804656982,0.015014288946986198,1.1278535562751615,219.3399721573495,0.8598523545303466,-40.62101745605469,32.455692291259766,63.461769104003906,-40.838016510009766,32.407352447509766,63.506614685058594,-0.021715998649597168,0.013907999731600285,1.001863956451416
2015-05-19 16:45:01.647540,33.28195571899414,1000.501708984375,33.24799346923828,31.918750762939453,0.019602224230766296,-2.4571330547332764,0.014584147371351719,1.1231262115958665,219.22709645112587,0.8351618076501323,-39.69179916381836,33.11845016479492,62.60655212402344,-39.60744094848633,33.22315979003906,62.59844207763672,-0.01878799870610237,0.011467999778687954,1.0025960206985474
2015-05-19 16:45:02.671570,33.02056121826172,1000.496337890625,33.302223205566406,31.927082061767578,0.019511990249156952,-2.4536592960357666,0.014016124419867992,1.1190764430265778,219.41466710611277,0.8020656457791594,-39.954166412353516,32.62277603149414,62.675071716308594,-40.00773239135742,32.5914192199707,62.69245910644531,-0.019763998687267303,0.013663999736309052,1.001863956451416
2015-05-19 16:45:03.693076,34.6934700012207,1000.50244140625,33.42877197265625,31.933334350585938,0.019528744742274284,-2.451228380203247,0.0136691490188241,1.1187624677681687,219.56039602224416,0.7845951424601776,-40.086280822753906,33.286041259765625,62.69898223876953,-40.20862579345703,33.211631774902344,62.61358642578125,-0.019519999623298645,0.011223999783396721,1.0021079778671265
2015-05-19 16:45:04.703715,32.9160041809082,1000.4990234375,33.33837890625,31.931249618530273,0.019475512206554413,-2.44972562789917,0.013876598328351974,1.1125694071816712,219.6423582922843,0.7966108325924052,-39.664085388183594,32.833335876464844,62.85799789428711,-39.6580696105957,32.83266830444336,62.72959899902344,-0.019763998687267303,0.014151999726891518,1.002351999282837
2015-05-19 16:45:05.714145,31.343921661376953,1000.49072265625,33.35646057128906,31.927082061767578,0.01953704096376896,-2.4515039920806885,0.01384867262095213,1.1157491804054296,219.53711873755276,0.7920567506024462,-40.269874572753906,33.01014709472656,62.31057357788086,-40.18190002441406,32.93491744995117,62.42605972290039,-0.018300000578165054,0.012931999750435352,1.002351999282837
2015-05-19 16:45:06.726380,33.4611930847168,1000.502685546875,33.464927673339844,31.933334350585938,0.019116798415780067,-2.4535598754882812,0.013759183697402477,1.095253383531808,219.41637465340528,0.7905085388166747,-40.34088897705078,32.85424041748047,62.84395217895508,-40.305912017822266,32.905391693115234,62.82196044921875,-0.01903199963271618,0.014639999717473984,1.0033279657363892
2015-05-19 16:45:07.748720,34.03998947143555,1000.49267578125,33.42877197265625,31.93541717529297,0.019273268058896065,-2.4558091163635254,0.014054873958230019,1.102371507864019,219.30169577724075,0.8051364561413149,-40.19057083129883,33.037139892578125,62.986427307128906,-40.30325698852539,32.95091247558594,63.10674285888672,-0.018300000578165054,0.01512799970805645,1.0035719871520996
2015-05-19 16:45:08.753927,33.08777618408203,1000.48583984375,33.35646057128906,31.914583206176758,0.019463779404759407,-2.453706741333008,0.013986887410283089,1.114089230993705,219.41200333233647,0.8005069219053685,-40.346168518066406,32.867958068847656,62.91983413696289,-40.28773498535156,32.79316711425781,62.798667907714844,-0.02025200054049492,0.013907999731600285,1.0045479536056519
2015-05-19 16:45:09.777188,32.9234733581543,1000.497802734375,33.464927673339844,31.912500381469727,0.019576920196413994,-2.4549739360809326,0.01412452757358551,1.1216168465109995,219.35023110148288,0.81041998099029,-39.8090934753418,33.00798416137695,63.11878967285156,-39.93087387084961,33.01158905029297,63.07823181152344,-0.020495999604463577,0.012931999750435352,1.0028399229049683
2015-05-19 16:45:10.782946,33.2259407043457,1000.50048828125,33.35646057128906,31.929166793823242,0.019920960068702698,-2.4516615867614746,0.013806053437292576,1.1405592022352662,219.5313267371366,0.7898647401265482,-40.440704345703125,33.17279052734375,62.64991760253906,-40.424964904785156,33.065032958984375,62.63873291015625,-0.02025200054049492,0.012931999750435352,1.0028399229049683
2015-05-19 16:45:11.789940,33.09151077270508,1000.5087890625,33.392616271972656,31.927082061767578,0.019757913425564766,-2.4544026851654053,0.013655456714332104,1.1312180647716275,219.37430068811798,0.7854520110358968,-39.91877365112305,32.67460632324219,63.209144592285156,-39.929019927978516,32.67768478393555,63.3269157409668,-0.019763998687267303,0.013419999741017818,1.001863956451416
